PI,TIME,CORES
3.141541,0.000714,2
3.141489,0.000555,3
3.141477,0.000453,4
3.141446,0.000426,5
3.141334,0.000380,6
3.141283,0.000351,7
3.141352,0.000367,8
3.141300,0.000338,9
3.141289,0.000322,10
3.141057,0.000365,11
3.141146,0.000343,12
3.141114,0.000332,13
3.140923,0.000327,14
3.140931,0.000306,15
3.141100,0.000322,16
3.140949,0.000359,17
3.140837,0.000356,18
3.140946,0.000343,19
3.140974,0.000350,20
