PI,TIME,CORES
3.141592,0.058791,2
3.141592,0.039244,3
3.141592,0.029558,4
3.141591,0.023652,5
3.141590,0.019740,6
3.141590,0.017185,7
3.141590,0.015680,8
3.141590,0.013410,9
3.141590,0.015054,10
3.141587,0.017617,11
3.141588,0.011287,12
3.141587,0.009514,13
3.141586,0.009945,14
3.141586,0.008317,15
3.141588,0.008527,16
3.141586,0.009008,17
3.141585,0.007962,18
3.141584,0.007702,19
3.141586,0.007689,20
