PI,TIME,CORES
3.141592,0.058878,2
3.141592,0.039250,3
3.141592,0.029514,4
3.141591,0.023764,5
3.141590,0.019744,6
3.141590,0.016936,7
3.141590,0.014919,8
3.141590,0.013230,9
3.141590,0.011893,10
3.141587,0.010912,11
3.141588,0.010029,12
3.141587,0.009272,13
3.141586,0.008634,14
3.141586,0.008072,15
3.141588,0.007582,16
3.141586,0.007171,17
3.141585,0.006820,18
3.141584,0.006439,19
3.141586,0.005683,20
